,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,Hubheight,Rotordiameter,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 2 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link)
30,,,WP Falkenhagen und Güstow,SEN,Enercon ,E-126 EP3 ,10270195,SEN E126 Falkenhagen (209288),PHISCH,2020-12-07,Denker & Wulf AG,Jürgen Schwarz,WEA 1 von 8,1250208,WEA F1,135.0,127.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,2021-09-24,,,Approved,file:///A:\___Projekte\10270195_2020 E126 N149 SEN WP Falkenhagen und Güstow Denker und Wulf AG (Jürgen Schwarz) ,53.345717,13.754303,209288.0
31,,,WP Falkenhagen und Güstow,SEN,Enercon ,E-126 EP3 ,10270195,SEN E126 Falkenhagen (209288),PHISCH,2020-12-07,Denker & Wulf AG,Jürgen Schwarz,WEA 2 von 8,1250209,WEA F2,135.0,127.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,2023-02-21,,,Approved,file:///A:\___Projekte\10270195_2020 E126 N149 SEN WP Falkenhagen und Güstow Denker und Wulf AG (Jürgen Schwarz) ,53.34314,13.752906,209288.0
32,,,WP Falkenhagen und Güstow,SEN,Enercon ,E-126 EP3 ,10270195,SEN E126 Falkenhagen (209288),PHISCH,2020-12-07,Denker & Wulf AG,Jürgen Schwarz,WEA 3 von 8,1250210,WEA F3,135.0,127.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,2021-09-24,,,Approved,file:///A:\___Projekte\10270195_2020 E126 N149 SEN WP Falkenhagen und Güstow Denker und Wulf AG (Jürgen Schwarz) ,53.341119,13.757381,209288.0
38,,,WP KWK,SEN,Enercon,E70 E4,10284617,SEN E70 E4 783823 (212170),ANNJO,2021-02-11,ENERCON GmbH,Alexander Winter,WEA 1 von 1,783823,WEA1,64.0,71.0,Unbekannt,ja,Ja,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10284617_2021 E70 E4 SEN WP KWK Enercon GmbH (Alexander Winter) ,53.95114,8.913023,212170.0
39,,,WP Mittelberg,SEN,Vestas,V112,10285125,SEN V112 WP Mittelberg (212561),PHISCH,2021-02-18,deag Energie GmbH & Co. 17 KG,Gisela Rauschen,WEA 1 von 1,V231218,WEA 3,119.0,112.0,Unbekannt,Ja,Ja,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10285125_2021 V112 SEN WP Mittelberg deag Energie GmbH (Gisela Rauschen) ,51.56805,8.817701,212561.0
40,,,WP Norderland Ochtersum II,SEN,Enercon,E115,10286596,SEN E115 WP Norderland Ochtersum II (212800),PHISCH,2021-03-02,Windpark Norderland GmbH & Co. KG Ochtersum II,Christian Kubitschek,WEA 1 von 1,1150578,WEA O02,135.0,115.0,Ja,Ja,Ja,,,6.0,16.0,W,,,,,2022-11-10,,,Approved,file:///A:\___Projekte\10286596_2021 E115 SEN WP Norderland Ochtersum II Norderland GmbH (Christian Kubitschek) ,53.623737,7.518609,212800.0
41,,,WP Ochtersum III,SEN,Enercon,E115,10286597,SEN E115 WP Norderland Ochtersum III (212801),PHISCH,2021-03-02,Windpark Norderland GmbH & Co. KG Ochtersum III,Christian Kubitschek,WEA 1 von 1,1150580,WEA O04,135.0,115.0,Ja,Ja,Ja,,,6.0,16.0,W,,,,,2022-11-10,,,Approved,file:///A:\___Projekte\10286597_2021 E115 SEN WP Ochtersum III Norderland GbmH (Christian Kubitschek) ,53.618161,7.517534,212801.0
42,,,WP Ochtersum I,SEN,Enercon ,E115,10286599,SEN E115 WP Norderland Ochtersum I (212799),PHISCH,2021-03-02,Windpark Norderland GmbH & Co. KG Ochtersum I,Christian Kubitschek,WEA 1 von 1,1150587,WEA O13,92.0,115.0,Ja,Unbekannt,Ja,,,6.0,16.0,W,,,,,2022-11-10,,,Approved,file:///A:\___Projekte\10286599_2021 E115 SEN WP Ochtersum I Norderland GmbH (Christian Kubitschek) ,53.619224,7.539623,212799.0
43,,,WP Blomberg Neuschloo I,SEN,Enercon,E115,10286603,SEN E 115 Norderland Neuschoo (212802),PHISCH,2021-03-02,Windpark Norderland GmbH & Co. KG Blomberg/Neuschoo I,Christian Kubitschek,WEA 1 von 2,1150509,WEA N1v,135.0,115.0,Ja,Ja,Unbekannt,,,7.0,17.0,W,,,,,2022-05-13,,,Approved,file:///A:\___Projekte\10286603_2021 E115 SEN WP Blomberg Neuschloo I Norderland GmbH (Christian Kubitschek) ,53.553259,7.502683,212802.0
45,,Informationen sind nicht vollständig.,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 1 von 8,55206472,GM21,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.917124,16.944878,210822.0
46,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 2 von 8,55206473,GM22,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.91328,16.951838,210822.0
47,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 3 von 8,55206453,GM23,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.918421,16.935281,210822.0
48,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 4 von 8,55206454,GM24,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.914331,16.941007,210822.0
49,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 5 von 8,55206455,GM25,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.912342,16.946148,210822.0
50,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 6 von 8,,GM26,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.9084,16.95083,210822.0
51,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 7 von 8,55206448,,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.905281,16.955734,210822.0
