,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,Hubheight,Rotordiameter,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 2 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link),day,wind_speed,wind_speed_100m,wind_direction,WD,green WS
222,,,WP Falkenwalde,SEN,GE,GE 4.5 MW,10426438,SEN WP Falkenwalde GE Renewable Energy (Bjoern Schierenbeck)\,Annjo,2023-01-30 00:00:00,GE Renewable Energy ,Björn Schierenbeck,WEA 2 von 2,55209916,RH E8,161.0,158.0,Unbekannt,Ja,Unbekannt,,,0.0,100.0,all,,,,,2022-11-17 00:00:00,2023-03-17 00:00:00,,Approved,file:///A:\___Projekte\10426438_2023 GE 45 MW SEN WP Falkenwalde GE Renewable Energy (Björn Schierenbeck) ,53.283747,14.030669,241686.0,2023-07-04,4.37,6.56,223.79720449250652,SW,1.0
223,,,WP Wester Ohrstedt,SIP,Senvion, 3.4M-114NES,10427192,SIP WP Wester_Ohrstedt Cimbergy (Birgit Höft_Jensen)\,JorDed,2023-02-03 00:00:00,Windpark Adlerhorst GmbH & Co. KG,Birgit Höft_Jensen,WEA 1 von 3,,WEA 01 ,123.0,114.0,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10427192_2023  SIP WP Wester_Ohrstedt Cimbergy (Birgit Höft_Jensen)\,54.499305,9.168878,244393.0,2023-07-04,4.76,7.14,233.50185319731307,SW,1.0
224,,,WP Wester Ohrstedt,SIP,Senvion, 3.4M-114NES,10427192,SIP WP Wester_Ohrstedt Cimbergy (Birgit Höft_Jensen)\,JorDed,2023-02-03 00:00:00,Windpark Adlerhorst GmbH & Co. KG,Birgit Höft_Jensen,WEA 2 von 3,,WEA 02 ,123.0,114.0,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10427192_2023  SIP WP Wester_Ohrstedt Cimbergy (Birgit Höft_Jensen)\,54.497412,9.172993,244393.0,2023-07-04,4.76,7.14,233.50185319731307,SW,1.0
225,,,WP Wester Ohrstedt,SIP,Senvion, 3.4M-114NES,10427192,SIP WP Wester_Ohrstedt Cimbergy (Birgit Höft_Jensen)\,JorDed,2023-02-03 00:00:00,Windpark Adlerhorst GmbH & Co. KG,Birgit Höft_Jensen,WEA 3 von 3,,WEA 03,123.0,114.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10427192_2023  SIP WP Wester_Ohrstedt Cimbergy (Birgit Höft_Jensen)\,54.494356,9.173057,244393.0,2023-07-04,4.76,7.14,233.50185319731307,SW,1.0
226,,,BWP Süderdeich,SIP,Enercon ,E 92,10427272,SIP BWP Süderdeich WindPlan (Reickard Müller)\,JorDed,2023-02-07 00:00:00,Bürgerwindpark Süderdeich GmbH & Co. KG,Reickard Müller,WEA 1 von 1,920913,Bürgerwindpark Süderdeich 920913,85.0,92.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10427272_2023  SIP BWP Süderdeich WindPlan (Reickard Müller)\,54.194249,8.926524,244015.0,2023-07-04,5.08,7.62,226.55967982261507,SW,1.0
228,,,Trebitz,SEN,Vestas,V162 5.6 MW,10428683,SEN V162 Trebitz II (245062),IaACruz,2023-02-11 00:00:00,Notus energy Plan GmbH & Co. KG,Paula Kock,WEA 1 von 2,245074,WEA 02,169.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10428683_2023 V162 SEN Trebitz II Notus Energy (Paula Kock)\,52.045248,14.310843,245062.0,2023-07-04,4.03,6.05,222.9637555921198,SW,1.0
229,,,Trebitz,SEN,Vestas,V162 5.6 MW,10428683,SEN V162 Trebitz II (245062),IaACruz,2023-02-11 00:00:00,Notus energy Plan GmbH & Co. KG,Paula Kock,WEA 2 von 2,245073,WEA 03,169.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10428683_2023 V162 SEN Trebitz II Notus Energy (Paula Kock)\,52.04812,14.344659,245062.0,2023-07-04,4.03,6.05,222.9637555921198,SW,1.0
230,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.6-155,10429130,SEN BWP Nordermeldorf (244577),UlfKoc,2023-02-11 00:00:00,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 1 von 9,,WEA-1,122.5,155.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.134007,9.030671,244577.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
231,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.6-155,10429130,SEN BWP Nordermeldorf (244577),UlfKoc,2023-02-11 00:00:00,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 2 von 9,,WEA-2,122.5,155.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.137153,9.031791,244577.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
232,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.6-155,10429130,SEN BWP Nordermeldorf (244577),UlfKoc,2023-02-11 00:00:00,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 3 von 9,,WEA-3,122.5,155.0,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.134455,9.036686,244577.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
233,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.6-155,10429130,SEN BWP Nordermeldorf (244577),UlfKoc,2023-02-11 00:00:00,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 4 von 9,,WEA-4,122.5,155.0,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.132423,9.041061,244577.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
234,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.6-155,10429130,SEN BWP Nordermeldorf (244577),UlfKoc,2023-02-11 00:00:00,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 5 von 9,,WEA-5,122.5,155.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.135208,9.044385,244577.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
235,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.0-155,10429130,SEN BWP Nordermeldorf (244577),UlfKoc,2023-02-11 00:00:00,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 6 von 9,,WEA-6,122.5,155.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.135187,9.050507,244577.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
236,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.0-155,10429130,SEN BWP Nordermeldorf (244577),UlfKoc,2023-02-11 00:00:00,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 7 von 9,,WEA-7,122.5,155.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.132418,9.053764,244577.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
237,,,Nordermeldorf,SEN,Siemens Gamesa,SG 5.0-132,10429130,SEN BWP Nordermeldorf (244577),UlfKoc,2023-02-11 00:00:00,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 8 von 9,,WEA 8,84.0,132.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.130372,9.043998,244577.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
238,,,Nordermeldorf,SEN,Siemens Gamesa,SG 5.0-132,10429130,SEN BWP Nordermeldorf (244577),UlfKoc,2023-02-11 00:00:00,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 9 von 9,,WEA 9,84.0,132.0,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.134719,9.026294,244577.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
239,,,Oldersbek,SEN,Enercon,E115 4.2 MW,10429369,SEN Oldersbek (245163),UlMR,2023-02-09 00:00:00,SNC Wind UG (haftungsbeschränkt) & Co. KG,Thurid Kuhk,WEA 1 von 1,1160115,SNC Wind - WEA 1,92.0,115.7,Unbekannt,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429369_2023 E115 SEN WP Oldersbek nttb (Thurid Kuhk)\,54.460067,9.170214,245163.0,2023-07-04,4.76,7.14,233.50185319731307,SW,1.0
240,,,Schantebüll,SEN,Enercon,E138,10429371,SEN WP Schnatebüll (245095),RicFren,2023-02-10 00:00:00,Windpark Schnatebüll Repowering GmbH & Co. KG,Volker Storm,WEA 1 von 1,1380840,WEA 11 ,110.8,138.25,Unbekannt,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429371_2023 E138 SEN WP Schnatebüll Ingbüro Volker Storm (Volker Storm)\,54.758701,8.903209,245095.0,2023-07-04,5.75,8.62,237.85945020126437,SW,1.0
241,,,Braderup,SEN,Vestas,V150,10429372,SEN BWP Braderup (245162),RicFren,2023-02-08 00:00:00,BWP Braderup-Tinningstedt GmbH & Co KG,Heinz Carstensen,WEA 1 von 1,,WEA 01 Kathal,,,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10429372_2023 V150 SEN WP Braderup_Tinningstedt BWP Braderup_Tinningstedt GmbH (Heinz Carstensen)\,54.821379,8.906042,245162.0,2023-07-04,5.75,8.62,237.85945020126437,SW,1.0
242,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),AnnJo,2023-02-08 00:00:00,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 1 von 7,246036,WEA1 (064),119.0,162.0,Unbekannt,Unbekannt,Ja,"SO2: 102.4 SO5: 99.9 SO2: 103 SO5: 99.6 SO2: 102.7 SO3: 101.3 SO4: 100,5  ",,0.0,100.0,all,,,"Andreas & Michael Mohr GbR, Göser Windenergie GbR, Jacobs und Kielholz, Looft und Bröcker GmbH & Co. KG, MAW GmbH & Co. 2. Windkraft KG, Norderwöhrden Poolgesellschaft mbH, Windpark Don Quichote GmbH & Co. KG, Windpark Wischmann GmbH & Co. KG, WKN Windkraft Nord GmbH & Co. Windpark Wöhrden I KG",,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.179294,9.019796,243887.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
243,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),AnnJo,2023-02-08 00:00:00,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 2 von 7,246037,WEA2 (065),119.0,162.0,Unbekannt,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.176159,9.014907,243887.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
244,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),AnnJo,2023-02-08 00:00:00,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 3 von 7,246038,WEA3 (066),119.0,162.0,Unbekannt,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.176302,9.022735,243887.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
245,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),AnnJo,2023-02-08 00:00:00,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 4 von 7,246039,WEA4 (067),119.0,162.0,Unbekannt ,Unbekannt ,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.173194,9.017588,243887.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
246,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),AnnJo,2023-02-08 00:00:00,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 5 von 7,246040,WEA5 (068),119.0,162.0,Unbekannt,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.17304,9.02431,243887.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
247,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),AnnJo,2023-02-08 00:00:00,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 6 von 7,246041,WEA6 (069),119.0,162.0,Unbekannt,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.169321,9.022654,243887.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
248,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),AnnJo,2023-02-08 00:00:00,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 7 von 7,246042,WEA7 (070),119.0,162.0,Unbekannt,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.165718,9.02057,243887.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
249,,,Albringhausen,SEN,Enercon ,E-160 EP5 E3 / 5560,10430226,SEN 6x E160EP3 Alb (242298),PhiSch,2023-02-09 00:00:00,ENERCON GmbH,Sven Bigalke,WEA 1 von 6,1603213,WP Albringhausen II Repowering WEA 6,166.6,160.0,Unbekannt ,Unbekannt ,Unbekannt ,,,5.0,16.0,all,,,,,2023-04-13 00:00:00,,,Approved,file:///a:\___Projekte\10430226_2023 E160EP3 SET Albringhausen ENERCON GmbH (Sven Bigalke)\,54.788583,8.795961,242298.0,2023-07-04,5.75,8.62,237.85945020126437,SW,1.0
256,,,Ourol (Fr),SEN,Enercon,E-136 EP5 / 4650 kW,10431051,SEN WP Ourol (242490),IaACruz,2023-02-28 00:00:00,"Greenalia Power Spain, SL",Victor Gonzalez,WEA 1 von 1,1360005,,,136.0,Ja,Ja,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10431051_2023 E136 SET Ourol ES Greenalia (Victor Gonzalez)\,43.54013,-7.63746,242490.0,2023-07-04,3.11,4.66,263.90986928941203,W,1.0
257,,,Uelvesbüll,SEN,Senvion,"V115-4,1 MW",10431215,SEN Vens Uelvesbüll (241470),IaACruz,2023-02-27 00:00:00,Windpark Uelvesbüll GmbH,Kai Offermanns,WEA 1 von 4,,VS214-BM2-4500kW,92.5,115.0,Ja,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10431215_2023 V115 SEN WP Uelvesbüll Cimbergy (Kai Offermanns)\,54.408917,8.938261,241470.0,2023-07-04,6.3,9.45,225.33636372266076,SW,1.0
258,,,Uelvesbüll,SEN,Senvion,"V115-4,1 MW",10431215,SEN Vens Uelvesbüll (241470),IaACruz,2023-02-27 00:00:00,Windpark Uelvesbüll GmbH,Kai Offermanns,WEA 2 von 4,,VS215-BM4-2800kW,92.5,115.0,Ja,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10431215_2023 V115 SEN WP Uelvesbüll Cimbergy (Kai Offermanns)\,54.405053,8.937489,241470.0,2023-07-04,6.3,9.45,225.33636372266076,SW,1.0
259,,,Uelvesbüll,SEN,Senvion,"V115-4,1 MW",10431215,SEN Vens Uelvesbüll (241470),IaACruz,2023-02-27 00:00:00,Windpark Uelvesbüll GmbH,Kai Offermanns,WEA 3 von 4,,VS216-BM3-3100kW,92.5,115.0,Ja,Unbekannt ,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10431215_2023 V115 SEN WP Uelvesbüll Cimbergy (Kai Offermanns)\,54.406217,8.943908,241470.0,2023-07-04,6.3,9.45,225.33636372266076,SW,1.0
260,,,Uelvesbüll,SEN,Senvion,"V115-4,1 MW",10431215,SEN Vens Uelvesbüll (241470),IaACruz,2023-02-27 00:00:00,Windpark Uelvesbüll GmbH,Kai Offermanns,WEA 4 von 4,,VS217-BM5-2500kW,92.5,115.0,Ja,Unbekannt ,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10431215_2023 V115 SEN WP Uelvesbüll Cimbergy (Kai Offermanns)\,54.409228,8.950183,241470.0,2023-07-04,6.3,9.45,225.33636372266076,SW,1.0
262,,,Asch,SEN,Enercon,E82,10431580,SEN WP Asch E82 (245521),IaACruz,2023-03-01 00:00:00,ENERCON GmbH,Mirko Martens,WEA 1 von 2,E826801,,108.4,82.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10431580_2023 E82 SEN WP Asch WRD (Mirko Martens)\,49.859851,12.459944,245521.0,2023-07-04,3.43,5.15,230.33261380388586,SW,1.0
263,,,Asch,SEN,Enercon,E82,10431580,SEN WP Asch E82 (245521),IaACruz,2023-03-01 00:00:00,ENERCON GmbH,Mirko Martens,WEA 2 von 2,E826802,,108.4,82.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10431580_2023 E82 SEN WP Asch WRD (Mirko Martens)\,49.857786,12.461482,245521.0,2023-07-04,3.43,5.15,230.33261380388586,SW,1.0
264,,,Schlaa,SEN,Enercon,E160 EP5 E3,10432594,SEN WP Schlaa E-160 (244222),FelPla,2023-03-08 00:00:00,Windpark Schlaa GmbH & Co. KG,Thurid Kuhk,WEA 1 von 1,E1603200,,120.0,160.0,Unbekannt,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10432594_2023 E160 SEN WP Schlaa nttb (Thurid Kuhk)\,54.121783,9.260774,244222.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
265,,,Büttler Balje,SEN,Enercon,E82 E2,10433177,SEN SON E82 WP Bütt (246224),UlfKoc,2023-03-13 00:00:00,WTS Wind-Tuning-Systems GmbH,Klaus Röhm,WEA 1 von 2,826118,,98.0,82.0,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,2023-04-01 00:00:00,,,Approved,file:///a:\___Projekte\10433177_2023 E82 SEN SON WP Bütteljer Balje WTS (Klaus Röhm)\,54.151674,8.957511,246224.0,2023-07-04,11.64,17.45,241.87707110626306,SW,1.0
266,,,Büttler Balje,SEN,Enercon,E82 E2,10433177,SEN SON E82 WP Bütt (246224),UlfKoc,2023-03-13 00:00:00,WTS Wind-Tuning-Systems GmbH,Klaus Röhm,WEA 2 von 2,826119,,98.0,82.0,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,2023-04-25 00:00:00,,,Approved,file:///a:\___Projekte\10433177_2023 E82 SEN SON WP Bütteljer Balje WTS (Klaus Röhm)\,54.151674,8.957511,246224.0,2023-07-04,11.64,17.45,241.87707110626306,SW,1.0
268,,,Regesborstel,SEN,Vestas,V150-5.6 MW,10434812,SEN Regesborstel (246796),IaACruz,2023-03-13 00:00:00,Notus energy Plan GmbH & Co. KG,Paula Kock,WEA 1 von 2,,WEA02-PO6000,148.0,150.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10434812_2023 V150 SEN Regesbostel Notus energy Plan GmbH (Paula Kock)\,53.389619,9.626952,246796.0,2023-07-04,4.52,6.79,237.71153573651668,SW,1.0
269,,,Regesborstel,SEN,Vestas,V150-5.6 MW,10434812,SEN Regesborstel (246796),IaACruz,2023-03-13 00:00:00,Notus energy Plan GmbH & Co. KG,Paula Kock,WEA 2 von 2,,WEA03-SO2,148.0,150.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10434812_2023 V150 SEN Regesbostel Notus energy Plan GmbH (Paula Kock)\,53.391086,9.635229,246796.0,2023-07-04,4.52,6.79,237.71153573651668,SW,1.0
270,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),AnnJo,2023-03-28 00:00:00,Vestas Wind Systems A/S,NCN,WEA 1 von 7,V246036,WEA1,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.179294,9.019796,247070.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
271,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),AnnJo,2023-03-28 00:00:00,Vestas Wind Systems A/S,NCN,WEA 2 von 7,V246037,WEA2,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.176159,9.014907,247070.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
272,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),AnnJo,2023-03-28 00:00:00,Vestas Wind Systems A/S,NCN,WEA 3 von 7,V246038,WEA3,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.176302,9.022735,247070.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
273,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),AnnJo,2023-03-28 00:00:00,Vestas Wind Systems A/S,NCN,WEA 4 von 7,V246039,WEA4,119.0,162.0,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,2023-04-27 00:00:00,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.173194,9.017588,247070.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
274,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),AnnJo,2023-03-28 00:00:00,Vestas Wind Systems A/S,NCN,WEA 5 von 7,V246040,WEA5,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.17304,9.02431,247070.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
275,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),AnnJo,2023-03-28 00:00:00,Vestas Wind Systems A/S,NCN,WEA 6 von 7,V246041,WEA6,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.169321,9.022654,247070.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
276,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),AnnJo,2023-03-28 00:00:00,Vestas Wind Systems A/S,NCN,WEA 7 von 7,V246042,WEA7,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.165718,9.02057,247070.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
277,,,Wöhrden,SEN,Vestas,V136-4.2MW,10436796,SEN WP HHU nttb (Thurid Kuhk)\,AnnJo,,Repowering Windpark HHU Pool GmbH,Thurid Kuhk,WEA 1 von 4,,,112.0,136.0,Unbekannt ,Unbekannt ,Ja ,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10436796_2023 V136 SEN WP HHU nttb (Thurid Kuhk)\,54.203632,8.854942,244292.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
278,,,Wöhrden,SEN,Vestas,V136-4.2MW,10436796,SEN WP HHU nttb (Thurid Kuhk)\,AnnJo,,Repowering Windpark HHU Pool GmbH,Thurid Kuhk,WEA 2 von 4,,,112.0,136.0,Unbekannt,Unbekannt,Ja ,,,0.0,100.0,all,,,,,,,,Approved,file:///a:\___Projekte\10436796_2023 V136 SEN WP HHU nttb (Thurid Kuhk)\,54.199191,8.86112,244292.0,2023-07-04,4.93,7.4,226.76935132474057,SW,1.0
